threshold,sum of TSS
0,669413122.4095033
1,652993541.2481687
2,637699073.3653822
3,623851377.7152746
4,607796736.9276601
5,590255886.2852101
6,573470181.3229023
7,553611811.7447602
8,533564262.6137441
9,511039509.6801958
10,489273504.5966327
11,466844223.55898106
12,445429879.0952601
13,423353107.11417127
14,401625297.94349784
15,380826917.7308052
16,361290310.17526287
17,340596853.1342856
18,319690980.152327
19,300429970.8994493
20,283762355.186831
21,266381961.48330462
22,250838932.336955
23,237366301.23839843
24,224097081.65069127
25,212737898.06106275
26,202625785.0523636
27,193849407.61052206
28,186431100.85874423
29,178297878.9482494
30,172083811.46517625
31,166526262.11911222
32,161437210.086033
33,156394630.4003757
34,152281596.1151089
35,148704771.73327005
36,144761952.3330342
37,141173436.73207107
38,137905267.08187637
39,135230935.5722576
40,132587597.19800267
41,130737806.39219293
42,129045617.61039253
43,127481260.60686746
44,125675475.33841886
45,124022441.06607875
46,122391406.88544652
47,120933330.8888689
48,119718680.64705567
49,118668038.64041471
50,117705021.05949454
51,116542773.78746615
52,115701741.77508096
53,114781668.15488826
54,113966564.73493493
55,113008406.37966917
56,112394611.62836969
57,111489111.83034298
58,110662252.8516211
59,109932805.6720396
60,109236496.60433026
61,108834232.98786177
62,108261623.53464848
63,107757763.04725248
64,107092220.20328972
65,106569947.29219271
66,106057897.15170911
67,105609858.38534448
68,105030461.25529727
69,104497394.99930036
70,103992403.25271074
71,103597166.5281541
72,103259058.73428142
73,102818502.51419584
74,102311212.76708578
75,101935966.63250574
76,101511230.26867563
77,100982613.3591585
78,100676252.19891232
79,100377958.7066471
80,100127326.32655434
81,99716844.3773305
82,99504966.1831685
83,99250964.03198221
84,98863752.52914381
85,98522477.70373614
86,98269147.05428587
87,97981541.6862891
88,97744871.26973577
89,97556295.36252004
90,97298121.38529944
91,97031223.37581106
92,96748112.67959605
93,96527368.53749768
94,96267096.27784325
95,96080463.29557489
96,95932174.80902115
97,95727579.65273891
98,95546705.7247556
99,95267296.71726485
100,95075165.5151497
101,94899934.19030069
102,94735598.26777896
103,94611914.0349511
104,94492530.32525352
105,94365366.7731485
106,94229193.6643726
107,94087277.87255579
108,93929862.61769119
109,93791535.61677349
110,93666498.02330242
111,93582234.2457597
112,93501358.98136804
113,93426962.75263442
114,93364546.67517269
115,93294203.01563531
116,93255108.02314974
117,93230253.16673861
118,93229886.2015805
119,93255593.53567941
120,93292498.81592508
121,93367303.39403363
122,93457075.07566343
123,93592981.95557901
124,93722423.37698855
125,93914790.54658689
126,94134864.14330634
127,94365594.78469096
128,94675674.44518292
129,95004127.10720533
130,95414164.13495989
131,95835589.63477586
132,96266614.41437359
133,96826633.2791646
134,97362641.08910052
135,97922735.3449367
136,98538422.09923759
137,99235116.86162166
138,99906279.56406823
139,100735170.8238278
140,101636132.71893844
141,102632512.9496381
142,103674986.93035576
143,104926481.99659812
144,105895797.80614069
145,106968035.45913422
146,108383729.55054009
147,109518058.59156281
148,110839433.91306421
149,112302961.52711964
150,113936492.9018614
151,115587863.27876759
152,117404493.25580645
153,119264907.84762123
154,121262385.10570587
155,123062461.40676689
156,125196124.15057032
157,127296605.03232291
158,129439937.4730025
159,131807059.86960247
160,134151820.55007735
161,136818720.93804234
162,139295595.1952466
163,141842275.05171373
164,144411800.90707818
165,147121624.88723332
166,150102098.26700997
167,152774780.29057235
168,155265978.6530873
169,158232696.92142072
170,161082111.6135335
171,164050850.1721984
172,167161385.03342342
173,170225481.59376985
174,173399681.7832861
175,176478879.20902327
176,179662812.88651392
177,182999516.17700887
178,186214522.05150437
179,189435844.15246248
180,192747656.60963905
181,196399625.62613153
182,199882501.47999698
183,203738555.97883785
184,207639859.41583222
185,211435395.29278818
186,215407059.20065534
187,219979433.65996498
188,224286671.06284913
189,229067076.54976425
190,233796145.953857
191,238941521.82695982
192,244099558.19128883
193,249337054.89786875
194,254497738.8366921
195,260048349.578419
196,265746980.96820223
197,271858386.05100226
198,277486792.1122052
199,283904116.32685924
200,291002785.2627291
201,298076696.26969326
202,306477606.9358624
203,314903731.22564965
204,323904403.9294636
205,333260329.7907205
206,342467234.1212397
207,351622069.52176374
208,360197085.96865594
209,368433394.30018026
210,376119483.81904227
211,383780387.7596913
212,391851995.2169329
213,400409271.5313508
214,408551236.7412057
215,416819243.93596375
216,425137708.38586307
217,433840109.22637093
218,441986872.6159838
219,450999175.8803302
220,459639791.1327336
221,467645228.47711766
222,475491435.64517856
223,482942937.1964171
224,489686611.4377748
225,496236404.0776311
226,502193786.7272146
227,508105503.61052006
228,514289641.45908713
229,520349565.47856885
230,526662574.4403938
231,532969008.8085583
232,540016048.1560516
233,546677034.2280356
234,554183652.1199011
235,561675856.0188397
236,569298697.5965561
237,576772467.554259
238,584846012.9686402
239,592931731.4432788
240,601127069.413647
241,609306014.3361788
242,617447192.2165519
243,625574597.1794586
244,633265015.3905334
245,640424301.7172635
246,646931406.632511
247,653300225.8312765
248,659128313.192087
249,664260341.3384439
250,668491888.0544999
251,671673523.707964
252,674237205.8216877
253,676261960.5120965
254,677237789.3062568
255,677243572.5262227
